"tag" "location" "year" "sex" "duration" "nclicks" "crate" "ddc" "fyear" "locyear" "mean" "mean0.05" "mean0.1" "median" "mode"
"1" "pm10_211b" "Azores" 2010 "UN" 47819 43037 0.899997908781028 13 "2010" "Azores2010" 0.625557181459155 0.611730278925354 0.610071848387746 0.610000000000582 0.643740490667089
"2" "pm10_222a" "Azores" 2010 "UN" 22249 18037 0.810688120814419 7 "2010" "Azores2010" 0.607104515141577 0.593416130207701 0.587652364033897 0.579999999999927 0.582371198976959
"3" "pm10_222b" "Azores" 2010 "UN" 53744 28762 0.535166716284609 9 "2010" "Azores2010" 0.559542485883395 0.536191609977324 0.528949829931977 0.520000000000437 0.511723150482539
"4" "pm10_226a" "Azores" 2010 "UN" 61415 52345 0.852316209395099 18 "2010" "Azores2010" 0.580516697693857 0.565826332897128 0.562127321080887 0.559999999997672 0.534752226702468
"5" "pm10_227b" "Azores" 2010 "UN" 1399 1027 0.73409578270193 1 "2010" "Azores2010" 0.90116564417178 0.804323271665045 0.749003285870766 0.579999999999927 0.542897100598328
"6" "pm10_228a" "Azores" 2010 "UN" 71632 50026 0.698375027920482 21 "2010" "Azores2010" 0.635746336633665 0.614562816281629 0.606045297029716 0.590000000003783 0.580990854034522
"7" "pm10_228b" "Azores" 2010 "UN" 52105 38085 0.730927933979465 14 "2010" "Azores2010" 0.643474031837768 0.607001863265024 0.595739301493134 0.590000000000146 0.616793232273658
"8" "pm10_230a" "Azores" 2010 "UN" 47131 46455 0.98565699857843 16 "2010" "Azores2010" 0.585836132925341 0.567324837735671 0.564110787172 0.559999999997672 0.471374277067752
"9" "pm13_050a" "Kaikoura" 2013 "PM" 5874 4771 0.812223357167177 2 "2013" "Kaikoura2013" 0.773878544061263 0.762989948533382 0.762013754679191 0.756520833329887 0.741605496482551
"10" "pm13_051a" "Kaikoura" 2013 "PM" 10972 8940 0.814801312431644 3 "2013" "Kaikoura2013" 0.633375864237483 0.603650307841495 0.590144929576786 0.554812500000253 0.44082414025965
"11" "pm13_056a" "Kaikoura" 2013 "PM" 28837 22162 0.768526545757187 7 "2013" "Kaikoura2013" 0.495441192695119 0.457423933953278 0.445505287607412 0.425791666700206 0.355594221166233
"12" "pm13_057a" "Kaikoura" 2013 "PM" 6775 7634 1.12678966789668 2 "2013" "Kaikoura2013" 0.598238991828869 0.57292670951715 0.567774826494323 0.539119791648773 0.459121679532503
"13" "pm13_061a" "Kaikoura" 2013 "PM" 22007 15348 0.697414459035761 6 "2013" "Kaikoura2013" 0.700783545935168 0.66970951612707 0.658940927470392 0.64087500000096 0.639627316945979
"14" "pm13_061b" "Kaikoura" 2013 "PM" 17519 11932 0.681089103259318 5 "2013" "Kaikoura2013" 0.542497877917167 0.505050455209683 0.483679105220536 0.433604166650184 0.257937739660502
"15" "sw01_200a" "Gulf of Mexico" 2001 "F" 30131 26214 0.870000995652318 9 "2001" "Gulf of Mexico2001" 0.492210490556441 0.48213359110086 0.477583310588995 0.46875 0.440434365932071
"16" "sw01_204a" "Gulf of Mexico" 2001 "F" 18773 19558 1.04181537314228 6 "2001" "Gulf of Mexico2001" 0.438671527790373 0.424875002850497 0.421186580568691 0.4130859375 0.386290923415315
"17" "sw01_208b" "Gulf of Mexico" 2001 "M" 8022 2791 0.347918224881576 1 "2001" "Gulf of Mexico2001" 0.792216740489542 0.783901838450898 0.779593004640048 0.7216796875 0.633700208291185
"18" "sw01_209c" "Gulf of Mexico" 2001 "F" 10568 14358 1.35862982588948 4 "2001" "Gulf of Mexico2001" 0.485496389857581 0.476565002823645 0.473548299169571 0.46875 0.459659614596217
"19" "sw01_265a" "Mediterranean" 2003 "UN" 11857 8016 0.676056338028169 4 "2003" "Mediterranean2003" 0.785178894491271 0.781129234949833 0.786250926448459 0.801687499999389 0.834843407539076
"20" "sw02_235c" "Gulf of Mexico" 2002 "F" 6540 6181 0.945107033639144 2 "2002" "Gulf of Mexico2002" 0.508199767575373 0.495859518724431 0.48852398533134 0.4765625 0.46514420231595
"21" "sw02_237a" "Gulf of Mexico" 2002 "UN" 10383 7584 0.730424732736203 2 "2002" "Gulf of Mexico2002" 0.531044137022398 0.515232774077869 0.512286159832016 0.51171875 0.511674156376912
"22" "sw02_238a" "Gulf of Mexico" 2002 "F" 13462 17838 1.32506314069232 4 "2002" "Gulf of Mexico2002" 0.45016999572126 0.43525846720169 0.429482536573077 0.4228515625 0.408654614013151
"23" "sw02_238b" "Gulf of Mexico" 2002 "UN" 7550 8853 1.17258278145695 3 "2002" "Gulf of Mexico2002" 0.5409506303607 0.535293185843635 0.534681346230225 0.5341796875 0.528946294677969
"24" "sw02_239a" "Gulf of Mexico" 2002 "F" 44469 52441 1.17927095279858 13 "2002" "Gulf of Mexico2002" 0.440938683471536 0.43329922461972 0.433024203510298 0.4296875 0.421840618338014
"25" "sw02_239b" "Gulf of Mexico" 2002 "UN" 2539 3929 1.5474596297755 1 "2002" "Gulf of Mexico2002" 0.473594467512521 0.469300920778632 0.468349796518394 0.466674804690001 0.4550349305775
"26" "sw02_240a" "Gulf of Mexico" 2002 "UN" 2177 3069 1.40973817179605 1 "2002" "Gulf of Mexico2002" 0.523114939530683 0.512635645449188 0.507773440479749 0.495788574220001 0.471366249847868
"27" "sw02_240c" "Gulf of Mexico" 2002 "UN" 17847 20945 1.1735865971872 5 "2002" "Gulf of Mexico2002" 0.553206710884161 0.536447167829848 0.528483812057122 0.5107421875 0.463217378080483
"28" "sw02_248a" "Gulf of Mexico" 2002 "UN" 2737 4407 1.61015710632079 1 "2002" "Gulf of Mexico2002" 0.471411066349528 0.466342987552767 0.464513661910059 0.460693359369998 0.444325845787674
"29" "sw02_249a" "Gulf of Mexico" 2002 "UN" 5904 7758 1.3140243902439 2 "2002" "Gulf of Mexico2002" 0.512164375820096 0.502262309816275 0.499248064953665 0.492431640630002 0.477730785943397
"30" "sw02_253a" "Gulf of Mexico" 2002 "UN" 12125 14366 1.18482474226804 4 "2002" "Gulf of Mexico2002" 0.47809202898983 0.468645627718778 0.465500804148234 0.4599609375 0.448077316260931
"31" "sw02_254a" "Gulf of Mexico" 2002 "F" 41142 47351 1.15091633853483 12 "2002" "Gulf of Mexico2002" 0.455800728879742 0.447685004895113 0.445389713178153 0.44140625 0.430407223033909
"32" "sw02_254b" "Gulf of Mexico" 2002 "F" 42275 34540 0.817031342400946 10 "2002" "Gulf of Mexico2002" 0.457138279493732 0.44924116635181 0.444784884789661 0.4384765625 0.421412670806559
