"tag" "location" "sex" "year" "duration" "nclicks" "crate" "fyear" "locyear" "mean" "mean0.05" "mean0.1" "median" "mode" "medianIPI" "BLGor" "BLGro"
"11" "pm13_056a" "Kaikoura" "PM" 2013 28837 22162 0.768526545757187 "2013" "Kaikoura2013" 0.495441192695119 0.457423933953278 0.445505287607412 0.425791666700206 0.355594221166233 4.95 12 11.96
"12" "pm13_057a" "Kaikoura" "PM" 2013 6775 7634 1.12678966789668 "2013" "Kaikoura2013" 0.598238991828869 0.57292670951715 0.567774826494323 0.539119791648773 0.459121679532503 5.41 12.67 12.55
"13" "pm13_061a" "Kaikoura" "PM" 2013 22007 15348 0.697414459035761 "2013" "Kaikoura2013" 0.700783545935168 0.66970951612707 0.658940927470392 0.64087500000096 0.639627316945979 4.7 11.64 11.65
"14" "pm13_061b" "Kaikoura" "PM" 2013 17519 11932 0.681089103259318 "2013" "Kaikoura2013" 0.542497877917167 0.505050455209683 0.483679105220536 0.433604166650184 0.257937739660502 5.22 12.39 12.3
"15" "sw01_200a" "Gulf of Mexico" "F" 2001 30131 26214 0.870000995652318 "2001" "Gulf of Mexico2001" 0.492210490556441 0.48213359110086 0.477583310588995 0.46875 0.440434365932071 NA NA NA
"16" "sw01_204a" "Gulf of Mexico" "F" 2001 18773 19558 1.04181537314228 "2001" "Gulf of Mexico2001" 0.438671527790373 0.424875002850497 0.421186580568691 0.4130859375 0.386290923415315 NA NA NA
"17" "sw01_208b" "Gulf of Mexico" "M" 2001 8022 2791 0.347918224881576 "2001" "Gulf of Mexico2001" 0.792216740489542 0.783901838450898 0.779593004640048 0.7216796875 0.633700208291185 NA NA NA
"18" "sw01_209c" "Gulf of Mexico" "F" 2001 10568 14358 1.35862982588948 "2001" "Gulf of Mexico2001" 0.485496389857581 0.476565002823645 0.473548299169571 0.46875 0.459659614596217 NA NA NA
"19" "sw01_265a" "Mediterranean" "UN" 2003 11857 8016 0.676056338028169 "2003" "Mediterranean2003" 0.785178894491271 0.781129234949833 0.786250926448459 0.801687499999389 0.834843407539076 NA NA NA
"20" "sw02_235c" "Gulf of Mexico" "F" 2002 6540 6181 0.945107033639144 "2002" "Gulf of Mexico2002" 0.508199767575373 0.495859518724431 0.48852398533134 0.4765625 0.46514420231595 NA NA NA
"21" "sw02_237a" "Gulf of Mexico" "UN" 2002 10383 7584 0.730424732736203 "2002" "Gulf of Mexico2002" 0.531044137022398 0.515232774077869 0.512286159832016 0.51171875 0.511674156376912 NA NA NA
"22" "sw02_238a" "Gulf of Mexico" "F" 2002 13462 17838 1.32506314069232 "2002" "Gulf of Mexico2002" 0.45016999572126 0.43525846720169 0.429482536573077 0.4228515625 0.408654614013151 NA NA NA
"23" "sw02_238b" "Gulf of Mexico" "UN" 2002 7550 8853 1.17258278145695 "2002" "Gulf of Mexico2002" 0.5409506303607 0.535293185843635 0.534681346230225 0.5341796875 0.528946294677969 NA NA NA
"24" "sw02_239a" "Gulf of Mexico" "F" 2002 44469 52441 1.17927095279858 "2002" "Gulf of Mexico2002" 0.440938683471536 0.43329922461972 0.433024203510298 0.4296875 0.421840618338014 NA NA NA
"25" "sw02_239b" "Gulf of Mexico" "UN" 2002 2539 3929 1.5474596297755 "2002" "Gulf of Mexico2002" 0.473594467512521 0.469300920778632 0.468349796518394 0.466674804690001 0.4550349305775 3.625 10.086984375 10.29625
"26" "sw02_240a" "Gulf of Mexico" "UN" 2002 2177 3069 1.40973817179605 "2002" "Gulf of Mexico2002" 0.523114939530683 0.512635645449188 0.507773440479749 0.495788574220001 0.471366249847868 NA NA NA
"27" "sw02_240c" "Gulf of Mexico" "UN" 2002 17847 20945 1.1735865971872 "2002" "Gulf of Mexico2002" 0.553206710884161 0.536447167829848 0.528483812057122 0.5107421875 0.463217378080483 NA NA NA
"28" "sw02_248a" "Gulf of Mexico" "UN" 2002 2737 4407 1.61015710632079 "2002" "Gulf of Mexico2002" 0.471411066349528 0.466342987552767 0.464513661910059 0.460693359369998 0.444325845787674 NA NA NA
"29" "sw02_249a" "Gulf of Mexico" "UN" 2002 5904 7758 1.3140243902439 "2002" "Gulf of Mexico2002" 0.512164375820096 0.502262309816275 0.499248064953665 0.492431640630002 0.477730785943397 NA NA NA
